NOM DE LA RESSOURCE;DESCRIPTION;LIEN;IDs - FILTRES;IMAGE;AUTEUR.ICES
Digesteur discontinu;;https://6dce6d8d-3eb3-42ca-9445-bcab4e23b464.filesusr.com/ugd/9c0294_0eb0ef79edb94ed4a3115256733a1649.pdf;Terminé;https://static.wixstatic.com/media/9c0294_8b0760a3c9594ddd846641949316286a~mv2.jpg/v1/crop/x_353,y_391,w_385,h_380/fill/w_157,h_157,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/1.jpg;
Cabanon cuisine MES;;https://github.com/konsilion/katalog-picojoule/upload/master/docs/kloud/doc;Terminé;https://static.wixstatic.com/media/9c0294_5c328fb07c6e4709bcd75d772d9ff87b~mv2.jpg/v1/crop/x_304,y_315,w_394,h_347/fill/w_187,h_168,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/3.jpg;
Compression;;https://github.com/konsilion/katalog-picojoule/upload/master/docs/kloud/vid;En cours;https://static.wixstatic.com/media/9c0294_edd648076edf4dcfba76e582ec1a15be~mv2.png/v1/crop/x_272,y_713,w_535,h_302/fill/w_244,h_138,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/digesteur%20(2).png;
Digesteur continu;;https://github.com/konsilion/katalog-picojoule/upload/master/docs/kloud/rec;En cours;https://static.wixstatic.com/media/9c0294_8b0760a3c9594ddd846641949316286a~mv2.jpg/v1/crop/x_353,y_391,w_385,h_380/fill/w_157,h_157,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/1.jpg;
Garde hydraulique;;https://github.com/konsilion/katalog-picojoule/upload/master/docs/kloud/rec;Terminé;https://static.wixstatic.com/media/9c0294_d21f0d09d0304dd089db589d632de108~mv2.jpg/v1/crop/x_266,y_240,w_508,h_496/fill/w_152,h_152,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/4.jpg;
Purification;;https://github.com/konsilion/katalog-picojoule/upload/master/docs/kloud/rec;A venir;https://static.wixstatic.com/media/9c0294_3cfdff5c970849ae94f12ac7d095a650~mv2.png/v1/crop/x_167,y_178,w_702,h_387/fill/w_257,h_140,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/digesteur%20(3).png;
